,Comments,Quality,Difficulty,Dates,TeacherID
95,Super kind professor who really cares about his students. He's always willing to talk outside of class and provide as much help as possible. Chris is not one of those teachers who are always out to get you and honestly just wants his students to succeed. Any class with him should be pretty chill / fun to take!,5.0,3.0,"Jun 8th, 2019",2518190
96,"Chris genuinely cares about his students, and well after the class ended continued to speak to me whenever I saw him in the halls, and seemed genuinely sad to be leaving our school when he got a new position. The class was tough, but interesting.I wish I'd realized sooner how much Chris values people coming to talk to him outside of class.",5.0,4.0,"Jun 8th, 2019",2518190
97,Professor Brinton is one of those Professors who actually really wants to be there. He's a smart guy who has done his fair share of research but still really cares about education.,5.0,4.0,"Jun 8th, 2019",2518190
98,He's a really down-to-earth professor and so friendly.,5.0,3.0,"Jun 8th, 2019",2518190
99,"Chris was a great lecturer. I had him for our introductory signals class at Princeton. He was really easy to reach outside of classes and a very nice person to get to know! In the following semester, I got the chance to work with him as a teaching assistant for a different class. He is thoughtful and cares about students' learning.",5.0,3.0,"Jun 7th, 2019",2518190
100,Professor Brinton was an amazing professor and really helped me through the class. He was readily available for questions and puts a lot of time into his courses. I would highly recommend him if you have the opportunity to take one of his classes.,5.0,4.0,"Jun 7th, 2019",2518190
101,"I took two courses with Prof. Brinton while he was a lecturer at Princeton, and I can confidently say that he is the best instructor I have ever had. Chris teaches clearly and with enthusiasm, but more importantly, he cares deeply about each and every one of his students. It is so easy to connect with him, which makes lectures really enjoyable.",5.0,3.0,"Jun 7th, 2019",2518190
102,Terrible professor,1.0,5.0,"Feb 24th, 2020",650499
103,very intelegent,5.0,1.0,"Sep 11th, 2013",650499
104,she is very intelegent,5.0,1.0,"Mar 23rd, 2012",650499
105,,5.0,3.0,"Jun 29th, 2010",650499
106,Smita is amazing!!!,5.0,4.0,"Jan 17th, 2010",650499
107,No Comments,5.0,3.0,"May 21st, 2009",650499
108,This guy was plain AWFUL!,1.5,5.0,"Jul 31st, 2013",1830942
109,Worst professor I've had in my four years at Princeton!!,1.0,4.0,"Jul 31st, 2013",1830942
110,"He seems more amused by his own stories than actually getting into course content. He was just ok. People are often dazzled by his outgoing personality, but that gets old after a few classes. I was grateful I went through several peer editing sessions before turning in my papers. I did fine in the class, but others suffered.",3.0,4.0,"Feb 18th, 2013",482271
111,"Michael is amusing, I'll give him that.  His naughty anecdotes are enough to keep any class flying, and he is certainly one of the most erudite living scholars in his field.  But be prepared: he plays favorites like no other professor I've ever had.",3.5,4.0,"Oct 8th, 2005",482271
112,No Comments,5.0,3.0,"Sep 24th, 2005",482271
113,"It has been a long time since I've taken Michael Cadden's classes, but I can still say, unequivocally, he is the best professor I've ever had.  His lectures are works of art, and he is a compelling, brilliant presence in the classroom.  The unsung gem (to mix a metaphor) of the English Department.",4.0,3.0,"Apr 20th, 2005",482271
114,Blah,2.0,4.0,"May 23rd, 2011",1584242
115,"Margaret has a good demeanor in lectures, is respectful, and invites questions from students but fails to answer them adequately, contradicting herself at times. Her materials are not ordered well to group appropriate topics, and her tests/quizes do not fairly reflect what was mentioned in lectures or what was in the course materials (hand-outs).",1.5,4.0,"Oct 19th, 2011",1628344
116,Interested in discussing both pragmatics and topics of group interest. Natural and professional. Made me consider teaching more rigorously.,5.0,4.0,"Feb 2nd, 2019",2455361
117,"Kent was extraordinary. He always moderated our precepts in a way that made discussions extremely interesting, and was accessible outside of class. He brought humor and a lively demeanor to our precepts that made me excited to come to class, and I think Kent was one of the central reasons as to why I enjoyed this class so much.",5.0,4.0,"Jan 11th, 2019",2455361
118,"Took her EAD II, she's humorous and is a very nice person but not a good professor. You have to guess what she wants in a paper therefore very hard to get an A. Also she likes to handwrite unidentifiable comments on your paper which makes them useless until you ask her. Maybe choose her class if you have no better options.",3.0,4.0,"Nov 26th, 2018",1394628
119,"I had Dr. Caponegro for 101, and found this semester to be easier. Granted, the content increased in difficulty, but the Italian department switched to online exams which made the class overwhelmingly easier throughout. That being said, I had to study much harder for this final because I was basically learning everything at the end.",3.5,3.0,"May 19th, 2016",1394628
120,"Lectures are very interactive which makes class go a lot faster. While she is very thorough and pretty understanding, she does expect a lot for beginners. Having previous knowledge in Italian, I did not find the work difficult, however, there is a decent amount of it. Not an easy A, but definitely doable. The textbook is also a must.",4.0,3.0,"Jan 27th, 2016",1394628
121,"She is a very nice professor, and truly cares for each student. Participation is weighted the most, so make sure to actively participate during every lecture. Exams are long, but doable. Be sure to memorize all of the vocabulary and grammar rules and do all the assigned homework. You need a 95 for the A, but if you put in the work you will be fine.",4.0,3.0,"Dec 16th, 2015",1394628
122,loved the class,4.5,3.0,"May 25th, 2015",1394628
123,"Very rough teacher to have. Don't get me wrong she's not a bad teacher, but she expects way too much out of a beginner. If you don't mind writing entire essays in Italian without the use of a book in your second week of class, this is for you. Don't expect an easy A. She can also be very nasty and snotty. Expect a lot of passive aggressive insults.",2.5,5.0,"Nov 14th, 2014",1394628
124,"Not easyper se, but understanding and funny. Be ready to work for your sucess, but only because it's a 101 langague class, so there's a lot of material to cover. When I was out sick, she was really sweet and asked how I was doing at the next class. Just be ready to participate a lot. It's 25% of your grade. I wanted her for 102 but alas.",4.0,3.0,"Nov 12th, 2014",1394628
125,"I didn't like Professoressa Caponegro. As a first time Italian student, I found her to be really tough and driven on participation in class. If you're someone who actively participates, you'll probably be fine albeit a little uncomfortable. When you mess up it's embarrassing, but everyone messes up so you're not alone. I wouldn't recommend her.",3.0,4.0,"Oct 23rd, 2014",1394628
126,"very nice teacher, wants her students to do well and makes class fun. Tests are easy as long as you study and follow along with everything you do in class. Definately would recommend",4.5,2.0,"Nov 16th, 2013",1394628
127,Fun class,5.0,4.0,"Jun 9th, 2011",1394628
128,Very good professor.,5.0,2.0,"Feb 27th, 2010",1394628
129,,5.0,4.0,"Feb 25th, 2010",1394628
130,"took his class at NYUAD - discipline and his lectures were amazing. He keeps you engaged and you learn ALOT. Just make sure you do the readings or you might be lost in class. On that note, the readings were pretty long - but it was a 7 week class. Highly recommend him.",5.0,4.0,"Apr 18th, 2019",507556
131,Centeno is fantastic in every way.  Just don't **** about your grades.,5.0,4.0,"Feb 23rd, 2006",507556
132,"The best thesis advisor ever! Get him if you can.  Just make sure you make a lot of appointments with his secretary :)  But seriously, an awesome advisor!",5.0,1.0,"Aug 30th, 2005",507556
133,"Lectures very very interesting, lots of reading but interesting & you don't have to do it all.  Grading is strict 33%A but not unreasonably hard since many PDF and thus those left don't have to try that hard.  Also, no exams, just three fairly short papers",4.5,3.0,"Apr 4th, 2005",507556
134,No Comments,5.0,3.0,"Nov 21st, 2004",507556
